Product Name,Year Month,Warehouse Inventory,Inventory Cost Per Unit,Order Quantity,On time shipment rate
Nike Men's CJ Elite 2 TD Football Cleat,201703,101,0.21878,137,0.6423357664233577
Field & Stream Sportsman 16 Gun Fire Safe,201703,91,1.12452,77,0.6233766233766234
Pelican Sunstream 100 Kayak,201703,100,1.53908,96,0.5625
Diamondback Women's Serene Classic Comfort Bi,201703,11,0.16137,62,0.5483870967741935
ENO Atlas Hammock Straps,201703,3,0.17242,7,1.0
Nike Men's Comfort 2 Slide,201703,6,1.27835,9,0.33333333333333337
adidas Youth Germany Black/Red Away Match Soc,201703,10,0.44961,13,0.6666666666666667
Team Golf St. Louis Cardinals Putter Grip,201703,2,0.18107,2,1.0
LIJA Women's Eyelet Sleeveless Golf Polo,201703,3,1.03368,2,1.0
adidas Men's F10 Messi TRX FG Soccer Cleat,201703,11,2.1628,6,0.5
Glove It Women's Imperial Golf Glove,201703,1,1.38468,4,0.5
Glove It Imperial Golf Towel,201703,8,1.06243,7,0.0
Bridgestone e6 Straight Distance NFL Carolina,201703,5,0.34205,6,0.6666666666666667
Glove It Women's Mod Oval 3-Zip Carry All Gol,201703,10,1.03023,8,1.0
Columbia Men's PFG Anchor Tough T-Shirt,201703,26,1.31639,17,0.6666666666666667
Under Armour Women's Ignite Slide,201703,4,0.14667,4,0.5
Team Golf Tennessee Volunteers Putter Grip,201703,3,0.42791,2,1.0
Nike Men's Deutschland Weltmeister Winners Bl,201703,1,1.1724,5,0.0
Bridgestone e6 Straight Distance NFL San Dieg,201703,3,0.33193,4,1.0
Nike Women's Tempo Shorts,201703,2,1.69635,1,0.0
Hirzl Women's Soffft Flex Golf Glove,201703,5,2.11909,3,1.0
Clicgear 8.0 Shoe Brush,201703,3,0.82452,5,1.0
Hirzl Women's Hybrid Golf Glove,201703,4,1.93927,2,0.0
Team Golf Pittsburgh Steelers Putter Grip,201703,1,1.28826,1,1.0
Glove It Urban Brick Golf Towel,201703,6,2.1284,5,1.0
Nike Dri-FIT Crew Sock 6 Pack,201703,3,1.38964,3,1.0
TYR Boys' Team Digi Jammer,201703,4,0.96505,2,0.0
Team Golf San Francisco Giants Putter Grip,201703,15,2.11189,10,1.0
Clicgear Rovic Cooler Bag,201703,14,0.30921,8,0.0
Hirzl Men's Hybrid Golf Glove,201703,0,2.3256,3,1.0
Titleist Pro V1x Golf Balls,201703,18,2.24845,13,0.6
adidas Men's Germany Black Crest Away Tee,201703,9,1.75702,8,1.0
Titleist Pro V1 High Numbers Personalized Gol,201703,1,0.25708,4,1.0
Under Armour Women's Micro G Skulpt Running S,201703,10,2.14362,7,0.0
Under Armour Hustle Storm Medium Duffle Bag,201703,1,1.46297,12,0.75
Bag Boy Beverage Holder,201703,11,1.19313,6,1.0
Under Armour Men's Tech II T-Shirt,201703,19,0.50261,12,1.0
Team Golf New England Patriots Putter Grip,201703,3,0.80445,3,1.0
Under Armour Men's Compression EV SL Slide,201703,6,2.28587,5,0.0
Bridgestone e6 Straight Distance NFL Tennesse,201703,2,1.24482,2,1.0
Titleist Pro V1x High Numbers Golf Balls,201703,14,1.66084,8,1.0
Nike Women's Legend V-Neck T-Shirt,201703,5,2.09038,4,1.0
adidas Kids' F5 Messi FG Soccer Cleat,201703,1,1.37072,1,1.0
LIJA Women's Mid-Length Panel Golf Shorts,201703,0,2.02252,6,0.0
Brooks Women's Ghost 6 Running Shoe,201703,0,1.42816,1,0.0
Bag Boy M330 Push Cart,201703,9,1.76986,5,0.0
Nike Women's Free 5.0 TR FIT PRT 4 Training S,201703,6,0.31117,4,1.0
Fitbit The One Wireless Activity & Sleep Trac,201703,2,1.5287,2,1.0
LIJA Women's Button Golf Dress,201703,0,2.29765,1,1.0
Nike Men's Kobe IX Elite Low Basketball Shoe,201703,0,1.88333,1,1.0
Titleist Small Wheeled Travel Cover,201703,2,1.96419,1,0.0
Perfect Fitness Perfect Rip Deck,201702,679,0.91894,436,0.5944055944055944
Nike Men's Dri-FIT Victory Golf Polo,201702,302,1.64554,383,0.55
O'Brien Men's Neoprene Life Vest,201702,189,1.79941,337,0.5809523809523809
Nike Men's Free 5.0+ Running Shoe,201702,147,0.34474,227,0.6428571428571428
Under Armour Girls' Toddler Spine Surge Runni,201702,235,0.12529,190,0.6129032258064516
Nike Men's CJ Elite 2 TD Football Cleat,201702,99,1.44617,98,0.6836734693877551
Field & Stream Sportsman 16 Gun Fire Safe,201702,91,0.68193,83,0.6265060240963856
Pelican Sunstream 100 Kayak,201702,105,0.26709,68,0.6764705882352942
Diamondback Women's Serene Classic Comfort Bi,201702,81,1.98979,81,0.5308641975308642
ENO Atlas Hammock Straps,201702,0,1.73918,7,1.0
Nike Men's Comfort 2 Slide,201702,4,0.92344,3,1.0
adidas Youth Germany Black/Red Away Match Soc,201702,3,0.35793,9,0.5
Team Golf St. Louis Cardinals Putter Grip,201702,0,1.83442,2,1.0
LIJA Women's Eyelet Sleeveless Golf Polo,201702,14,2.29643,9,0.5
adidas Men's F10 Messi TRX FG Soccer Cleat,201702,5,1.51604,5,0.5
Bridgestone e6 Straight Distance NFL Carolina,201702,8,1.84397,4,1.0
Glove It Women's Mod Oval 3-Zip Carry All Gol,201702,0,0.58961,2,1.0
Columbia Men's PFG Anchor Tough T-Shirt,201702,8,0.6007,5,0.0
Team Golf Tennessee Volunteers Putter Grip,201702,8,1.66517,13,0.25
Nike Men's Deutschland Weltmeister Winners Bl,201702,0,1.62649,9,0.75
Bridgestone e6 Straight Distance NFL San Dieg,201702,3,1.71477,3,0.0
Team Golf Texas Longhorns Putter Grip,201702,6,0.23071,3,0.0
Hirzl Women's Soffft Flex Golf Glove,201702,4,0.65465,6,1.0
Hirzl Women's Hybrid Golf Glove,201702,2,1.23129,6,1.0
Team Golf Pittsburgh Steelers Putter Grip,201702,1,0.82915,2,0.5
Top Flite Women's 2017 XL Hybrid,201702,21,2.13743,11,1.0
Glove It Urban Brick Golf Towel,201702,7,1.62744,4,0.0
Nike Dri-FIT Crew Sock 6 Pack,201702,2,0.9058,2,0.0
TYR Boys' Team Digi Jammer,201702,7,0.891,4,1.0
Team Golf San Francisco Giants Putter Grip,201702,2,1.50541,6,0.5
Clicgear Rovic Cooler Bag,201702,1,0.58051,2,0.5
Hirzl Men's Hybrid Golf Glove,201702,12,1.99473,10,0.0
Titleist Pro V1x Golf Balls,201702,11,1.56627,6,1.0
adidas Men's Germany Black Crest Away Tee,201702,22,1.50176,13,0.6666666666666667
Titleist Pro V1 High Numbers Personalized Gol,201702,11,1.3341,12,0.0
Under Armour Women's Micro G Skulpt Running S,201702,6,1.34409,10,0.25
Under Armour Hustle Storm Medium Duffle Bag,201702,4,0.12361,2,1.0
Under Armour Women's Ignite PIP VI Slide,201702,4,1.48304,3,1.0
Bag Boy Beverage Holder,201702,0,1.26168,4,1.0
Under Armour Men's Tech II T-Shirt,201702,14,0.43408,10,0.6666666666666667
Team Golf New England Patriots Putter Grip,201702,2,1.8753,6,0.5
Under Armour Men's Compression EV SL Slide,201702,0,1.54393,2,0.0
Bridgestone e6 Straight Distance NFL Tennesse,201702,1,1.50731,4,0.5
Glove It Women's Mod Oval Golf Glove,201702,23,1.20941,13,0.5
Titleist Pro V1x High Numbers Golf Balls,201702,0,2.23628,1,1.0
Nike Women's Legend V-Neck T-Shirt,201702,9,2.23701,9,1.0
Under Armour Kids' Mercenary Slide,201702,2,0.88451,4,0.0
adidas Kids' F5 Messi FG Soccer Cleat,201702,3,1.57135,4,0.5
Polar FT4 Heart Rate Monitor,201702,0,1.33353,5,0.0
Fitbit The One Wireless Activity & Sleep Trac,201702,2,1.00113,3,1.0
Merrell Women's Siren Mid Waterproof Hiking B,201702,1,1.04301,1,0.0
Perfect Fitness Perfect Rip Deck,201701,529,0.52827,357,0.5630252100840336
Nike Men's Dri-FIT Victory Golf Polo,201701,13,2.26937,350,0.6513761467889908
O'Brien Men's Neoprene Life Vest,201701,491,0.67102,288,0.49514563106796117
Nike Men's Free 5.0+ Running Shoe,201701,17,0.27078,166,0.6909090909090909
Under Armour Girls' Toddler Spine Surge Runni,201701,222,0.27599,227,0.5
Nike Men's CJ Elite 2 TD Football Cleat,201701,188,0.75746,112,0.6607142857142857
Field & Stream Sportsman 16 Gun Fire Safe,201701,32,1.34606,73,0.5753424657534247
Pelican Sunstream 100 Kayak,201701,104,1.40562,60,0.5
Diamondback Women's Serene Classic Comfort Bi,201701,15,1.30907,66,0.5909090909090908
ENO Atlas Hammock Straps,201701,12,2.04261,8,0.6666666666666667
Nike Men's Comfort 2 Slide,201701,1,1.29987,8,0.6666666666666667
adidas Youth Germany Black/Red Away Match Soc,201701,0,1.13098,2,0.0
LIJA Women's Eyelet Sleeveless Golf Polo,201701,9,1.15827,7,1.0
adidas Men's F10 Messi TRX FG Soccer Cleat,201701,0,2.32591,6,0.5
Glove It Women's Imperial Golf Glove,201701,23,1.42605,13,1.0
Glove It Imperial Golf Towel,201701,6,0.89095,3,1.0
Bridgestone e6 Straight Distance NFL Carolina,201701,1,1.77573,5,1.0
Glove It Women's Mod Oval 3-Zip Carry All Gol,201701,6,0.85857,6,0.5
Team Golf Tennessee Volunteers Putter Grip,201701,7,1.05592,5,0.5
Titleist Pro V1x High Numbers Personalized Go,201701,10,0.50789,14,0.6
Nike Men's Deutschland Weltmeister Winners Bl,201701,9,0.26436,10,0.33333333333333337
Bridgestone e6 Straight Distance NFL San Dieg,201701,6,1.82995,8,0.0
Nike Women's Tempo Shorts,201701,1,0.77932,1,0.0
Team Golf Texas Longhorns Putter Grip,201701,1,1.3324,1,0.0
Hirzl Women's Soffft Flex Golf Glove,201701,21,0.36625,11,0.75
Clicgear 8.0 Shoe Brush,201701,1,1.60907,2,1.0
Team Golf Pittsburgh Steelers Putter Grip,201701,1,0.94951,4,1.0
Glove It Urban Brick Golf Towel,201701,2,1.99243,2,1.0
Nike Dri-FIT Crew Sock 6 Pack,201701,4,0.80879,2,1.0
TYR Boys' Team Digi Jammer,201701,1,2.09162,2,0.0
Team Golf San Francisco Giants Putter Grip,201701,0,1.18523,2,1.0
Clicgear Rovic Cooler Bag,201701,7,1.06015,8,0.5
Hirzl Men's Hybrid Golf Glove,201701,6,0.1121,5,1.0
Titleist Pro V1x Golf Balls,201701,0,0.453,1,1.0
adidas Men's Germany Black Crest Away Tee,201701,3,1.78696,5,1.0
Under Armour Women's Micro G Skulpt Running S,201701,5,0.52718,5,0.0
Under Armour Hustle Storm Medium Duffle Bag,201701,12,1.45269,6,0.6666666666666667
Under Armour Women's Ignite PIP VI Slide,201701,0,1.79812,5,1.0
Under Armour Men's Tech II T-Shirt,201701,17,1.45244,16,1.0
Under Armour Men's Compression EV SL Slide,201701,9,1.88764,5,1.0
Bridgestone e6 Straight Distance NFL Tennesse,201701,6,0.41429,4,0.0
Glove It Women's Mod Oval Golf Glove,201701,14,2.24533,8,1.0
Titleist Pro V1x High Numbers Golf Balls,201701,2,0.7955,4,1.0
Nike Women's Legend V-Neck T-Shirt,201701,2,0.71885,1,1.0
adidas Kids' F5 Messi FG Soccer Cleat,201701,10,1.48199,5,0.6666666666666667
Merrell Men's All Out Flash Trail Running Sho,201701,1,0.30525,1,0.0
Mio ALPHA Heart Rate Monitor/Sport Watch,201701,1,0.83802,1,0.0
Nike Men's Kobe IX Elite Low Basketball Shoe,201701,1,1.08272,1,1.0
Perfect Fitness Perfect Rip Deck,201612,674,0.36383,403,0.5547445255474452
Nike Men's Dri-FIT Victory Golf Polo,201612,471,1.46573,313,0.5684210526315789
O'Brien Men's Neoprene Life Vest,201612,460,0.46938,328,0.6168224299065421
Nike Men's Free 5.0+ Running Shoe,201612,352,0.69697,176,0.5873015873015873
Under Armour Girls' Toddler Spine Surge Runni,201612,124,0.63537,172,0.6666666666666667
Nike Men's CJ Elite 2 TD Football Cleat,201612,119,1.35966,131,0.732824427480916
Field & Stream Sportsman 16 Gun Fire Safe,201612,128,0.83007,87,0.6206896551724138
Pelican Sunstream 100 Kayak,201612,81,0.90134,73,0.5753424657534247
Diamondback Women's Serene Classic Comfort Bi,201612,87,0.87319,71,0.7183098591549295
ENO Atlas Hammock Straps,201612,5,1.93102,5,0.5
Nike Men's Comfort 2 Slide,201612,3,0.74111,5,0.75
adidas Youth Germany Black/Red Away Match Soc,201612,0,1.74775,1,1.0
Team Golf St. Louis Cardinals Putter Grip,201612,5,1.90115,16,0.75
LIJA Women's Eyelet Sleeveless Golf Polo,201612,10,1.01168,6,1.0
adidas Men's F10 Messi TRX FG Soccer Cleat,201612,9,1.46912,6,1.0
Glove It Women's Imperial Golf Glove,201612,17,1.16303,10,0.6666666666666667
Glove It Imperial Golf Towel,201612,3,1.07962,7,0.5
Bridgestone e6 Straight Distance NFL Carolina,201612,4,1.15211,2,1.0
Glove It Women's Mod Oval 3-Zip Carry All Gol,201612,17,1.37702,9,0.6666666666666667
Columbia Men's PFG Anchor Tough T-Shirt,201612,9,1.41416,9,1.0
Under Armour Women's Ignite Slide,201612,24,0.56745,17,0.6
Team Golf Tennessee Volunteers Putter Grip,201612,8,2.04082,11,0.4
Titleist Pro V1x High Numbers Personalized Go,201612,3,1.97753,3,0.0
Nike Men's Deutschland Weltmeister Winners Bl,201612,16,0.44588,14,0.6
Bridgestone e6 Straight Distance NFL San Dieg,201612,9,2.1395,10,0.33333333333333337
Nike Women's Tempo Shorts,201612,3,1.65004,2,1.0
Team Golf Texas Longhorns Putter Grip,201612,4,0.35646,8,0.5
Hirzl Women's Hybrid Golf Glove,201612,9,0.12237,6,0.0
Top Flite Women's 2017 XL Hybrid,201612,8,0.40868,5,1.0
Glove It Urban Brick Golf Towel,201612,3,1.85408,2,0.0
Nike Dri-FIT Crew Sock 6 Pack,201612,1,0.58538,7,0.75
TYR Boys' Team Digi Jammer,201612,1,1.21077,6,0.5
Team Golf San Francisco Giants Putter Grip,201612,0,0.66911,1,1.0
Clicgear Rovic Cooler Bag,201612,0,1.2093,5,1.0
Hirzl Men's Hybrid Golf Glove,201612,6,0.48366,3,0.0
Titleist Pro V1x Golf Balls,201612,8,0.20073,5,0.5
adidas Men's Germany Black Crest Away Tee,201612,5,0.34266,5,1.0
Under Armour Women's Micro G Skulpt Running S,201612,1,1.55311,6,0.0
Under Armour Hustle Storm Medium Duffle Bag,201612,6,0.67206,3,1.0
Under Armour Women's Ignite PIP VI Slide,201612,0,2.02004,3,1.0
Bag Boy Beverage Holder,201612,0,1.65921,2,1.0
Under Armour Men's Tech II T-Shirt,201612,8,0.57937,9,0.0
Team Golf New England Patriots Putter Grip,201612,8,0.64672,7,1.0
Under Armour Men's Compression EV SL Slide,201612,1,0.36902,1,1.0
Glove It Women's Mod Oval Golf Glove,201612,9,1.20333,8,0.5
Titleist Pro V1x High Numbers Golf Balls,201612,1,1.26121,3,0.0
Nike Women's Legend V-Neck T-Shirt,201612,14,2.24884,8,0.33333333333333337
Under Armour Kids' Mercenary Slide,201612,1,0.71459,9,0.6666666666666667
adidas Kids' F5 Messi FG Soccer Cleat,201612,7,1.02966,5,1.0
Fighting video games,201612,0,0.49693,4,1.0
Fitbit The One Wireless Activity & Sleep Trac,201612,1,2.24876,2,1.0
Perfect Fitness Perfect Rip Deck,201611,411,1.59273,384,0.5887096774193548
Nike Men's Dri-FIT Victory Golf Polo,201611,248,0.50162,401,0.6204379562043796
O'Brien Men's Neoprene Life Vest,201611,438,1.34637,282,0.5520833333333333
Nike Men's Free 5.0+ Running Shoe,201611,262,2.18361,218,0.5714285714285714
Under Armour Girls' Toddler Spine Surge Runni,201611,113,0.60883,176,0.5
Nike Men's CJ Elite 2 TD Football Cleat,201611,166,0.316,116,0.603448275862069
Field & Stream Sportsman 16 Gun Fire Safe,201611,81,1.48834,104,0.5865384615384616
Pelican Sunstream 100 Kayak,201611,121,0.67656,107,0.6448598130841121
Diamondback Women's Serene Classic Comfort Bi,201611,149,0.97731,84,0.5476190476190477
ENO Atlas Hammock Straps,201611,5,1.4233,6,1.0
Team Golf St. Louis Cardinals Putter Grip,201611,6,0.8981,4,1.0
LIJA Women's Eyelet Sleeveless Golf Polo,201611,15,1.60411,8,1.0
adidas Men's F10 Messi TRX FG Soccer Cleat,201611,2,0.84099,4,1.0
Glove It Women's Imperial Golf Glove,201611,5,0.14916,7,1.0
Glove It Imperial Golf Towel,201611,5,0.10252,7,0.5
Bridgestone e6 Straight Distance NFL Carolina,201611,8,0.73005,5,0.0
Glove It Women's Mod Oval 3-Zip Carry All Gol,201611,8,1.25185,5,0.0
Columbia Men's PFG Anchor Tough T-Shirt,201611,11,1.5304,7,1.0
Team Golf Tennessee Volunteers Putter Grip,201611,14,0.54725,9,0.5
Titleist Pro V1x High Numbers Personalized Go,201611,12,0.48501,7,1.0
Bridgestone e6 Straight Distance NFL San Dieg,201611,3,0.2818,3,0.5
Nike Women's Tempo Shorts,201611,3,0.76859,6,0.5
Team Golf Texas Longhorns Putter Grip,201611,0,1.64502,2,1.0
Hirzl Women's Soffft Flex Golf Glove,201611,1,1.29163,1,0.0
Clicgear 8.0 Shoe Brush,201611,13,1.32671,8,0.6666666666666667
Team Golf Pittsburgh Steelers Putter Grip,201611,9,1.41965,9,0.0
Top Flite Women's 2017 XL Hybrid,201611,10,0.58905,5,0.5
Nike Dri-FIT Crew Sock 6 Pack,201611,4,1.71938,15,0.6666666666666667
TYR Boys' Team Digi Jammer,201611,1,0.12995,2,0.0
Team Golf San Francisco Giants Putter Grip,201611,3,1.8369,6,0.6666666666666667
Titleist Pro V1x Golf Balls,201611,17,2.18414,12,0.5
adidas Men's Germany Black Crest Away Tee,201611,4,1.22103,4,1.0
Titleist Pro V1 High Numbers Personalized Gol,201611,2,1.71575,1,1.0
Under Armour Women's Micro G Skulpt Running S,201611,12,1.4708,10,0.33333333333333337
Under Armour Hustle Storm Medium Duffle Bag,201611,6,0.14349,5,0.0
Under Armour Women's Ignite PIP VI Slide,201611,4,2.33992,5,0.0
Team Golf New England Patriots Putter Grip,201611,0,1.42563,6,0.0
Under Armour Men's Compression EV SL Slide,201611,0,0.9305,10,0.33333333333333337
Bridgestone e6 Straight Distance NFL Tennesse,201611,1,1.96084,5,0.0
Glove It Women's Mod Oval Golf Glove,201611,2,0.35791,4,0.0
Titleist Pro V1x High Numbers Golf Balls,201611,8,1.33104,5,1.0
Nike Women's Legend V-Neck T-Shirt,201611,4,0.4026,2,0.0
Under Armour Kids' Mercenary Slide,201611,0,1.76419,5,1.0
adidas Kids' F5 Messi FG Soccer Cleat,201611,5,1.20653,7,1.0
Perfect Fitness Perfect Rip Deck,201610,12,1.35987,427,0.5766423357664234
Nike Men's Dri-FIT Victory Golf Polo,201610,251,2.07064,401,0.5390625
O'Brien Men's Neoprene Life Vest,201610,135,0.72199,406,0.5891472868217054
Nike Men's Free 5.0+ Running Shoe,201610,148,1.47872,207,0.7352941176470589
Under Armour Girls' Toddler Spine Surge Runni,201610,244,1.28111,166,0.5964912280701755
Nike Men's CJ Elite 2 TD Football Cleat,201610,182,0.7767,141,0.574468085106383
Field & Stream Sportsman 16 Gun Fire Safe,201610,112,1.63063,80,0.65
Pelican Sunstream 100 Kayak,201610,79,1.60211,93,0.6129032258064516
Diamondback Women's Serene Classic Comfort Bi,201610,2,1.52597,90,0.5222222222222221
ENO Atlas Hammock Straps,201610,6,2.12298,5,1.0
Nike Men's Comfort 2 Slide,201610,4,1.79855,3,1.0
Team Golf St. Louis Cardinals Putter Grip,201610,15,2.0597,8,1.0
adidas Men's F10 Messi TRX FG Soccer Cleat,201610,8,1.96486,10,0.6666666666666667
Glove It Women's Imperial Golf Glove,201610,13,2.1505,8,0.5
Glove It Imperial Golf Towel,201610,3,0.34519,6,0.5
Bridgestone e6 Straight Distance NFL Carolina,201610,13,2.24997,9,0.6666666666666667
Glove It Women's Mod Oval 3-Zip Carry All Gol,201610,0,1.36718,9,0.0
Columbia Men's PFG Anchor Tough T-Shirt,201610,23,1.89199,15,0.25
Under Armour Women's Ignite Slide,201610,6,1.90006,5,0.5
Team Golf Tennessee Volunteers Putter Grip,201610,3,1.82599,5,1.0
Titleist Pro V1x High Numbers Personalized Go,201610,4,0.49694,7,1.0
Nike Men's Deutschland Weltmeister Winners Bl,201610,22,0.66696,12,1.0
Bridgestone e6 Straight Distance NFL San Dieg,201610,1,1.44452,11,0.0
Nike Women's Tempo Shorts,201610,8,0.57682,13,0.6
Team Golf Texas Longhorns Putter Grip,201610,3,0.42747,3,0.0
Clicgear 8.0 Shoe Brush,201610,0,1.3691,5,0.5
Hirzl Women's Hybrid Golf Glove,201610,0,0.78388,1,0.0
Team Golf Pittsburgh Steelers Putter Grip,201610,3,0.50344,8,1.0
Top Flite Women's 2017 XL Hybrid,201610,0,1.49264,1,1.0
Glove It Urban Brick Golf Towel,201610,11,1.15687,7,0.5
Nike Dri-FIT Crew Sock 6 Pack,201610,12,2.22806,11,0.5
TYR Boys' Team Digi Jammer,201610,5,1.01994,7,1.0
Team Golf San Francisco Giants Putter Grip,201610,14,0.41333,8,0.0
Clicgear Rovic Cooler Bag,201610,30,1.84945,17,0.5
Hirzl Men's Hybrid Golf Glove,201610,3,1.56487,3,0.0
Titleist Pro V1x Golf Balls,201610,1,1.2534,5,1.0
adidas Men's Germany Black Crest Away Tee,201610,5,1.1518,6,0.0
Titleist Pro V1 High Numbers Personalized Gol,201610,1,1.35122,1,0.0
Under Armour Women's Micro G Skulpt Running S,201610,29,0.41441,16,0.6
Under Armour Hustle Storm Medium Duffle Bag,201610,6,2.08827,4,1.0
Under Armour Women's Ignite PIP VI Slide,201610,4,0.17658,8,0.0
Bag Boy Beverage Holder,201610,2,1.07873,6,1.0
Under Armour Men's Tech II T-Shirt,201610,0,1.78949,5,0.6666666666666667
Team Golf New England Patriots Putter Grip,201610,3,0.91909,4,0.5
Under Armour Men's Compression EV SL Slide,201610,27,2.27945,19,0.8
Bridgestone e6 Straight Distance NFL Tennesse,201610,2,2.11622,5,1.0
Glove It Women's Mod Oval Golf Glove,201610,12,1.29714,9,0.6666666666666667
Titleist Pro V1x High Numbers Golf Balls,201610,22,1.85838,14,0.75
Nike Women's Legend V-Neck T-Shirt,201610,8,2.29201,7,0.0
Under Armour Kids' Mercenary Slide,201610,8,1.68833,5,1.0
Garmin Approach S3 Golf GPS Watch,201610,0,1.41489,1,0.0
Merrell Women's Grassbow Sport Waterproof Hik,201610,0,0.52837,1,0.0
Perfect Fitness Perfect Rip Deck,201609,582,1.34924,399,0.582089552238806
Nike Men's Dri-FIT Victory Golf Polo,201609,137,0.85492,321,0.6218487394957983
O'Brien Men's Neoprene Life Vest,201609,339,0.54179,262,0.6195652173913043
Nike Men's Free 5.0+ Running Shoe,201609,87,0.9128,207,0.5972222222222222
Under Armour Girls' Toddler Spine Surge Runni,201609,108,0.6652,185,0.5901639344262295
Nike Men's CJ Elite 2 TD Football Cleat,201609,34,1.88008,98,0.6224489795918368
Field & Stream Sportsman 16 Gun Fire Safe,201609,131,1.86185,86,0.5697674418604651
Pelican Sunstream 100 Kayak,201609,155,1.08205,84,0.6071428571428572
Diamondback Women's Serene Classic Comfort Bi,201609,42,1.18269,71,0.5915492957746479
ENO Atlas Hammock Straps,201609,0,0.53017,5,0.33333333333333337
Nike Men's Comfort 2 Slide,201609,18,0.59259,11,1.0
adidas Youth Germany Black/Red Away Match Soc,201609,3,0.2125,3,1.0
Team Golf St. Louis Cardinals Putter Grip,201609,10,1.22362,9,0.5
LIJA Women's Eyelet Sleeveless Golf Polo,201609,1,1.88309,5,1.0
adidas Men's F10 Messi TRX FG Soccer Cleat,201609,0,0.9594,5,1.0
Glove It Imperial Golf Towel,201609,1,1.00901,1,1.0
Bridgestone e6 Straight Distance NFL Carolina,201609,1,1.83482,15,0.5
Glove It Women's Mod Oval 3-Zip Carry All Gol,201609,11,1.13471,8,0.6666666666666667
Columbia Men's PFG Anchor Tough T-Shirt,201609,0,1.35416,1,1.0
Under Armour Women's Ignite Slide,201609,12,2.30569,7,0.5
Team Golf Tennessee Volunteers Putter Grip,201609,13,0.72474,19,0.19999999999999996
Titleist Pro V1x High Numbers Personalized Go,201609,4,2.0201,5,1.0
Nike Men's Deutschland Weltmeister Winners Bl,201609,0,2.01733,1,0.0
Bridgestone e6 Straight Distance NFL San Dieg,201609,3,1.33012,4,0.5
Team Golf Texas Longhorns Putter Grip,201609,14,1.07362,14,0.75
Hirzl Women's Hybrid Golf Glove,201609,0,2.27318,8,0.6666666666666667
Team Golf Pittsburgh Steelers Putter Grip,201609,1,1.30738,1,1.0
Top Flite Women's 2017 XL Hybrid,201609,16,0.35814,13,0.75
Glove It Urban Brick Golf Towel,201609,8,1.74706,13,0.0
Nike Dri-FIT Crew Sock 6 Pack,201609,2,2.01991,4,0.0
TYR Boys' Team Digi Jammer,201609,5,1.35871,4,0.5
Clicgear Rovic Cooler Bag,201609,0,0.97695,6,0.5
Hirzl Men's Hybrid Golf Glove,201609,7,1.72542,10,0.33333333333333337
Titleist Pro V1x Golf Balls,201609,4,0.63245,2,0.0
Titleist Pro V1 High Numbers Personalized Gol,201609,0,2.28891,1,1.0
Under Armour Women's Micro G Skulpt Running S,201609,4,1.95899,2,0.5
Under Armour Hustle Storm Medium Duffle Bag,201609,1,1.7243,2,0.5
Bag Boy Beverage Holder,201609,8,1.8319,4,0.6666666666666667
Team Golf New England Patriots Putter Grip,201609,2,1.43483,4,0.5
Under Armour Men's Compression EV SL Slide,201609,1,1.99506,1,1.0
Bridgestone e6 Straight Distance NFL Tennesse,201609,1,0.88201,1,0.0
Glove It Women's Mod Oval Golf Glove,201609,4,0.55011,8,0.5
Titleist Pro V1x High Numbers Golf Balls,201609,11,1.8807,7,0.5
Nike Women's Legend V-Neck T-Shirt,201609,4,1.73148,6,1.0
adidas Kids' F5 Messi FG Soccer Cleat,201609,6,1.10276,3,1.0
Fighting video games,201609,0,0.10446,2,0.0
Perfect Fitness Perfect Rip Deck,201608,931,1.86713,478,0.5316455696202531
Nike Men's Dri-FIT Victory Golf Polo,201608,103,0.5196,385,0.5905511811023623
O'Brien Men's Neoprene Life Vest,201608,528,0.36478,303,0.5545454545454546
Nike Men's Free 5.0+ Running Shoe,201608,3,0.34644,242,0.5569620253164558
Under Armour Girls' Toddler Spine Surge Runni,201608,139,1.37349,191,0.640625
Nike Men's CJ Elite 2 TD Football Cleat,201608,261,0.77917,137,0.4817518248175182
Field & Stream Sportsman 16 Gun Fire Safe,201608,120,1.3658,108,0.5648148148148149
Pelican Sunstream 100 Kayak,201608,78,2.25655,89,0.5955056179775281
Diamondback Women's Serene Classic Comfort Bi,201608,56,0.23959,72,0.5694444444444444
ENO Atlas Hammock Straps,201608,1,2.30337,4,0.0
adidas Youth Germany Black/Red Away Match Soc,201608,6,1.76817,3,0.0
Team Golf St. Louis Cardinals Putter Grip,201608,5,0.44314,4,0.0
LIJA Women's Eyelet Sleeveless Golf Polo,201608,2,1.40414,2,1.0
adidas Men's F10 Messi TRX FG Soccer Cleat,201608,4,0.22647,4,1.0
Glove It Women's Imperial Golf Glove,201608,0,0.4661,10,1.0
Glove It Imperial Golf Towel,201608,20,1.93681,14,0.5
Bridgestone e6 Straight Distance NFL Carolina,201608,1,0.22166,7,0.5
Columbia Men's PFG Anchor Tough T-Shirt,201608,8,1.05484,7,0.6666666666666667
Under Armour Women's Ignite Slide,201608,17,1.17233,11,0.33333333333333337
Team Golf Tennessee Volunteers Putter Grip,201608,3,1.34648,7,0.5
Titleist Pro V1x High Numbers Personalized Go,201608,0,1.36497,4,1.0
Nike Men's Deutschland Weltmeister Winners Bl,201608,25,1.12425,13,0.6666666666666667
Bridgestone e6 Straight Distance NFL San Dieg,201608,5,1.5042,5,1.0
Nike Women's Tempo Shorts,201608,1,0.91353,13,0.5
